No,T,P,phiV,T0_in,Reactor,CO2_in,CO_in,H2_in,N2_in,CO2_out,CO_out,H2_out,MeOH_out,H2O_out,N2_out,tet0,gamma,Density,d,L,phiVout,T0_out
142,220,20,66.79446565,20,0,22.59,0.005,67.71,9.69,21.3750169467957,0.627356905215191,65.2979158671034,1.11990754724614,1.73703335449706,9.84276937914248,0,0.978107773942604,870,0.00635,0.031576,0,20
143,230,20,66.79446565,20,0,22.58,0.005,67.79,9.61,20.8523773518817,1.10075331295005,64.7893373535429,1.1629693494446,2.25348977172874,9.84107286045203,0,0.977269974097942,870,0.00635,0.031576,0,20
144,240,20,66.79446565,20,0,22.56,0.005,67.87,9.56,20.0689924424454,1.7390627726084,63.8596411139297,1.36446306655382,3.09325888378712,9.87458172067558,0,0.97342029809806,870,0.00635,0.031576,0,20
145,250,20,66.79446565,20,0,22.55,0.005,67.8,9.64,19.3304986564098,2.69160759935845,63.5072472744972,0.978005773371461,3.65941828761062,9.83322240875242,0,0.980814171496811,870,0.00635,0.031576,0,20
146,260,20,66.79446565,20,0,22.55,0.005,67.8,9.64,18.8519345406634,3.31729326520996,63.3222045864915,0.705646293179635,4.01279998653718,9.79012132791832,0,0.986081339459882,870,0.00635,0.031576,0,20
147,210,30,65.77221235,20,0,22.24,0.005,66.51,11.24,21.1602003176952,0.435459666411429,64.115895883973,1.19843976834383,1.62365489554067,11.4663494680359,97.40471301,0.976603344606506,860,0.00635,0.031576,0,20
148,220,30,65.77221235,20,0,22.21,0.005,66.56,11.22,20.7266052793598,0.756446113648332,63.6002049350794,1.35494366469375,2.10111165275356,11.4606883544652,96.81048862,0.973634420925805,860,0.00635,0.031576,0,20
149,230,30,65.77221235,20,0,22.22,0.005,66.57,11.2,20.1458438028332,1.29852345859678,62.9213835971463,1.4312583348939,2.71949136362279,11.483499442907,96.21861649,0.972182729909861,860,0.00635,0.031576,0,20
150,240,30,65.77221235,20,0,22.25,0.005,66.49,11.25,19.3581693911009,2.13803083059032,62.062956693393,1.36904449498248,3.49680342767672,11.5749951622567,96.06312629,0.973343884278582,860,0.00635,0.031576,0,20
151,250,30,65.77221235,20,0,22.26,0.005,66.42,11.31,18.6128058206474,2.95960901309856,61.3679188839106,1.26702931408192,4.21638262706919,11.5762543411923,95.51606836,0.975291217560312,860,0.00635,0.031576,0,20
